citycode,cityname,lon,lat
522600,黔东南苗族侗族自治州,107.97,26.59
522700,黔南布依族苗族自治州,107.53,26.72
530100,昆明市,102.73,25.04
530300,曲靖市,103.79,25.51
530400,玉溪市,102.5392,24.35
530500,保山市,99.1695,25.12
530600,昭通市,103.7,29.32
530700,丽江市,100.25,26.86
530800,普洱市,101,22.79
530900,临沧市,100.09,23.88
532301,楚雄州,101.54,25.01
532522,红河州,103.41,23.36
532621,文山州,104.24,23.37
532801,西双版纳州,100.79,22
532901,大理州,100.1856,25.69
533103,德宏州,98.6,24.41
533321,怒江州,98.82,25.97
533421,迪庆州,99.72,27.78
540100,拉萨市,91.11,29.97
542100,昌都地区,97.1807,31.1266
542200,山南地区,91.7657,29.2461
542300,日喀则地区,88.8903,29.2542
542400,那曲地区,92.0851,31.479
542500,阿里地区,80.1208,32.502
542600,林芝地区,94.3649,29.6504
610100,西安市,108.95,34.27
610200,铜川市,109.11,35.09
610300,宝鸡市,107.15,34.38
610400,咸阳市,108.72,34.36
610500,渭南市,109.5,34.52
610600,延安市,109.47,36.6
610700,汉中市,108.04,33.07
610800,榆林市,109.77,38.3
610900,安康市,109.02,32.7
611000,商洛市,109.96,33.88
620100,兰州市,103.73,36.03
620200,嘉峪关市,98.11666667,39.8
620300,金昌市,102.24,38.5
620400,白银市,104.0166667,36.53333333
620500,天水市,105.69,34.6
620600,武威市,102.61,37.94
620700,张掖市,100.46,38.93
620800,平凉市,106.68,35.51
620900,酒泉市,98.5,39.71
621000,庆阳市,107.88,36.03
621100,定西市,104.57,35.57
621200,陇南市,104.94,33.43
622900,临夏回族自治州,103.22,35.62
623000,甘南州,102.905,35.0003
630100,西宁市,101.74,36.56
632100,海东地区,102.1086111,36.49972222
632200,海北藏族自治州,100.9048,36.9639
632300,黄南藏族自治州,102.0199444,35.51016667
632500,海南藏族自治州,100.618825,36.28658333
632600,果洛藏族自治州,100.2561111,34.47138889
632700,玉树藏族自治州,96.99998056,33.0014
632800,海西蒙古族藏族自治州,97.37305556,37.37527778
640100,银川市,106.27,38.47
640200,石嘴山市,106.39,39.04
640300,吴忠市,106.21,37.99
640400,固原市,106.28,36.01
640500,中卫市,105.18,37.51
650100,乌鲁木齐市,87.68,43.77
650200,克拉玛依市,84.77,45.59
652100,吐鲁番地区,89.19,42.91
652200,哈密地区,93.44,42.78
652300,昌吉州,87.31,44.05
652700,博尔塔拉蒙古自治州,82.0646,44.93
652800,巴音郭楞州,86.06,41.68
652900,阿克苏地区,80.29,41.15
653000,克孜勒苏柯尔克孜自治州,76.08,39.42
653100,喀什地区,75.94,39.52
653200,和田地区,79.94,37.12
654000,伊犁哈萨克州,81.33,43.91
654200,塔城地区,82.96,46.74
654300,阿勒泰地区,88.14,47.86
659001,石河子市,86.0597,44.27
659004,五家渠市,87.526,44.1644
